"PopName","Sex","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"Div1","b",1959,"0",0.02319,0.02272,0.11,100000,2272,97985,7072419,70.72
"Div1","b",1959,"1",0.00127,0.00127,0.5,97728,124,97666,6974434,71.37
"Div1","b",1959,"2",0.00085,0.00085,0.5,97604,83,97563,6876768,70.46
"Div1","b",1959,"3",0.00065,0.00065,0.5,97521,64,97489,6779205,69.52
"Div1","b",1959,"4",0.00066,0.00066,0.5,97458,64,97425,6681716,68.56
"Div1","b",1959,"5",0.00058,0.00058,0.5,97393,56,97365,6584290,67.61
"Div1","b",1959,"6",0.00042,0.00042,0.5,97337,41,97317,6486925,66.64
"Div1","b",1959,"7",0.00045,0.00045,0.5,97296,44,97274,6389609,65.67
"Div1","b",1959,"8",0.00034,0.00034,0.5,97252,33,97236,6292335,64.7
"Div1","b",1959,"9",0.00042,0.00042,0.5,97219,40,97199,6195099,63.72
"Div1","b",1959,"10",0.00044,0.00044,0.5,97179,43,97158,6097900,62.75
"Div1","b",1959,"11",0.00027,0.00027,0.5,97136,26,97123,6000742,61.78
"Div1","b",1959,"12",0.00043,0.00043,0.5,97110,41,97089,5903619,60.79
"Div1","b",1959,"13",0.00039,0.00039,0.5,97068,38,97049,5806530,59.82
"Div1","b",1959,"14",0.00055,0.00055,0.5,97030,53,97004,5709481,58.84
"Div1","b",1959,"15",0.00051,0.00051,0.5,96977,50,96952,5612477,57.87
"Div1","b",1959,"16",0.00059,0.00059,0.5,96928,57,96899,5515524,56.9
"Div1","b",1959,"17",7e-04,7e-04,0.5,96871,68,96837,5418625,55.94
"Div1","b",1959,"18",0.00083,0.00083,0.5,96803,80,96763,5321788,54.98
"Div1","b",1959,"19",8e-04,8e-04,0.5,96723,77,96684,5225026,54.02
"Div1","b",1959,"20",0.00109,0.00109,0.5,96645,106,96593,5128342,53.06
"Div1","b",1959,"21",0.00098,0.00098,0.5,96540,94,96493,5031749,52.12
"Div1","b",1959,"22",0.00107,0.00107,0.5,96446,103,96394,4935256,51.17
"Div1","b",1959,"23",0.00094,0.00094,0.5,96342,90,96297,4838863,50.23
"Div1","b",1959,"24",0.00088,0.00087,0.5,96252,84,96210,4742565,49.27
"Div1","b",1959,"25",0.00086,0.00086,0.5,96168,83,96126,4646355,48.32
"Div1","b",1959,"26",0.00087,0.00087,0.5,96085,84,96043,4550229,47.36
"Div1","b",1959,"27",0.00071,0.00071,0.5,96001,69,95967,4454186,46.4
"Div1","b",1959,"28",0.00106,0.00106,0.5,95933,101,95882,4358219,45.43
"Div1","b",1959,"29",0.00103,0.00103,0.5,95831,99,95782,4262337,44.48
"Div1","b",1959,"30",0.0012,0.0012,0.5,95733,114,95675,4166555,43.52
"Div1","b",1959,"31",0.00114,0.00114,0.5,95618,109,95564,4070880,42.57
"Div1","b",1959,"32",0.00131,0.00131,0.5,95509,125,95447,3975316,41.62
"Div1","b",1959,"33",0.00123,0.00123,0.5,95384,118,95325,3879869,40.68
"Div1","b",1959,"34",0.00143,0.00142,0.5,95267,136,95199,3784544,39.73
"Div1","b",1959,"35",0.00146,0.00146,0.5,95131,139,95061,3689345,38.78
"Div1","b",1959,"36",0.00183,0.00183,0.5,94992,174,94905,3594284,37.84
"Div1","b",1959,"37",0.00173,0.00173,0.5,94818,164,94736,3499379,36.91
"Div1","b",1959,"38",0.00205,0.00205,0.5,94654,194,94557,3404644,35.97
"Div1","b",1959,"39",0.00238,0.00238,0.5,94460,225,94347,3310087,35.04
"Div1","b",1959,"40",0.00245,0.00245,0.5,94235,231,94119,3215739,34.12
"Div1","b",1959,"41",0.00269,0.00268,0.5,94004,252,93878,3121620,33.21
"Div1","b",1959,"42",0.003,0.003,0.5,93752,281,93611,3027742,32.3
"Div1","b",1959,"43",0.00346,0.00345,0.5,93471,323,93310,2934131,31.39
"Div1","b",1959,"44",0.0037,0.00369,0.5,93148,344,92976,2840821,30.5
"Div1","b",1959,"45",0.00409,0.00408,0.5,92804,378,92615,2747845,29.61
"Div1","b",1959,"46",0.00499,0.00497,0.5,92426,460,92196,2655230,28.73
"Div1","b",1959,"47",0.00513,0.00511,0.5,91966,470,91731,2563034,27.87
"Div1","b",1959,"48",0.00613,0.00611,0.5,91496,559,91216,2471303,27.01
"Div1","b",1959,"49",0.00653,0.00651,0.5,90937,592,90641,2380087,26.17
"Div1","b",1959,"50",0.0071,0.00708,0.5,90345,640,90025,2289446,25.34
"Div1","b",1959,"51",0.0074,0.00738,0.5,89705,662,89375,2199421,24.52
"Div1","b",1959,"52",0.00902,0.00898,0.5,89044,799,88644,2110046,23.7
"Div1","b",1959,"53",0.00935,0.00931,0.5,88244,821,87833,2021402,22.91
"Div1","b",1959,"54",0.00994,0.0099,0.5,87423,865,86990,1933569,22.12
"Div1","b",1959,"55",0.01148,0.01142,0.5,86558,988,86063,1846579,21.33
"Div1","b",1959,"56",0.01228,0.01221,0.5,85569,1045,85047,1760515,20.57
"Div1","b",1959,"57",0.01276,0.01268,0.5,84525,1072,83989,1675468,19.82
"Div1","b",1959,"58",0.01518,0.01507,0.5,83453,1257,82824,1591479,19.07
"Div1","b",1959,"59",0.01568,0.01556,0.5,82196,1279,81556,1508655,18.35
"Div1","b",1959,"60",0.01689,0.01675,0.5,80917,1355,80239,1427099,17.64
"Div1","b",1959,"61",0.01814,0.01798,0.5,79562,1430,78846,1346860,16.93
"Div1","b",1959,"62",0.02146,0.02124,0.5,78131,1659,77302,1268014,16.23
"Div1","b",1959,"63",0.02249,0.02224,0.5,76472,1701,75622,1190712,15.57
"Div1","b",1959,"64",0.02401,0.02372,0.5,74771,1774,73885,1115090,14.91
"Div1","b",1959,"65",0.02824,0.02784,0.5,72998,2033,71981,1041206,14.26
"Div1","b",1959,"66",0.02917,0.02875,0.5,70965,2041,69945,969224,13.66
"Div1","b",1959,"67",0.03349,0.03294,0.5,68924,2270,67789,899280,13.05
"Div1","b",1959,"68",0.03566,0.03503,0.5,66654,2335,65487,831490,12.47
"Div1","b",1959,"69",0.03676,0.03609,0.5,64319,2322,63158,766004,11.91
"Div1","b",1959,"70",0.04011,0.03932,0.5,61998,2438,60779,702845,11.34
"Div1","b",1959,"71",0.04333,0.04241,0.5,59560,2526,58297,642067,10.78
"Div1","b",1959,"72",0.0493,0.04811,0.5,57034,2744,55662,583770,10.24
"Div1","b",1959,"73",0.05183,0.05053,0.5,54290,2743,52918,528108,9.73
"Div1","b",1959,"74",0.05854,0.05687,0.5,51547,2932,50081,475190,9.22
"Div1","b",1959,"75",0.06455,0.06254,0.5,48615,3040,47095,425109,8.74
"Div1","b",1959,"76",0.06793,0.06569,0.5,45575,2994,44078,378014,8.29
"Div1","b",1959,"77",0.07113,0.06868,0.5,42581,2925,41119,333935,7.84
"Div1","b",1959,"78",0.08426,0.08085,0.5,39656,3206,38053,292817,7.38
"Div1","b",1959,"79",0.08937,0.08554,0.5,36450,3118,34891,254764,6.99
"Div1","b",1959,"80",0.09884,0.09418,0.5,33332,3139,31762,219872,6.6
"Div1","b",1959,"81",0.10392,0.09879,0.5,30193,2983,28701,188110,6.23
"Div1","b",1959,"82",0.10989,0.10416,0.5,27210,2834,25793,159408,5.86
"Div1","b",1959,"83",0.12596,0.1185,0.5,24376,2889,22931,133616,5.48
"Div1","b",1959,"84",0.14192,0.13251,0.5,21487,2847,20064,110684,5.15
"Div1","b",1959,"85",0.15551,0.14429,0.5,18640,2690,17295,90621,4.86
"Div1","b",1959,"86",0.16745,0.15452,0.5,15950,2465,14718,73325,4.6
